piece,axis,config,k,n,beta0_p2,beta0_p3,Delta,giant_p2,giant_p3,DeltaG,V_p2,V_p3,avg_degree_p2,avg_degree_p3,k_over_V_p2,k_over_V_p3,flags
cs1_1pre_cap300,seconds,C,10,3,1,1,0,1.0,1.0,0.0,300,300,12.326667,12.273333,0.0333,0.0333,
cs1_1pre_cap300,seconds,C,10,4,1,1,0,1.0,1.0,0.0,300,300,12.34,11.726667,0.0333,0.0333,
cs1_1pre_cap300,seconds,C,10,5,1,1,0,1.0,1.0,0.0,300,300,12.013333,11.586667,0.0333,0.0333,
prelude,beats,A,8,1,11,9,2,0.32,0.263333,0.0567,300,300,10.62,10.113333,0.0267,0.0267,
prelude,beats,A,8,2,7,2,5,0.723333,0.673333,0.05,300,300,10.1,10.54,0.0267,0.0267,
prelude,beats,A,8,3,2,2,0,0.673333,0.68,-0.0067,300,300,10.613333,10.42,0.0267,0.0267,
prelude,beats,A,8,4,2,3,-1,0.67,0.34,0.33,300,300,10.306667,10.733333,0.0267,0.0267,
prelude,beats,A,8,5,1,3,-2,1.0,0.396667,0.6033,300,300,10.66,10.406667,0.0267,0.0267,
prelude,beats,A,10,1,7,3,4,0.323333,0.353333,-0.03,300,300,12.633333,12.013333,0.0333,0.0333,
prelude,beats,A,10,2,1,2,-1,1.0,0.673333,0.3267,300,300,12.166667,13.32,0.0333,0.0333,
prelude,beats,A,10,3,2,1,1,0.673333,1.0,-0.3267,300,300,13.1,12.98,0.0333,0.0333,
prelude,beats,A,10,4,2,3,-1,0.67,0.34,0.33,300,300,12.706667,13.38,0.0333,0.0333,
prelude,beats,A,10,5,1,3,-2,1.0,0.396667,0.6033,300,300,13.026667,12.926667,0.0333,0.0333,
prelude,beats,A,12,1,5,3,2,0.323333,0.353333,-0.03,300,300,14.8,14.38,0.04,0.04,
prelude,beats,A,12,2,1,2,-1,1.0,0.673333,0.3267,300,300,14.393333,15.813333,0.04,0.04,
prelude,beats,A,12,3,2,1,1,0.673333,1.0,-0.3267,300,300,15.413333,15.52,0.04,0.04,
prelude,beats,A,12,4,2,3,-1,0.67,0.34,0.33,300,300,15.073333,15.94,0.04,0.04,
prelude,beats,A,12,5,1,3,-2,1.0,0.396667,0.6033,300,300,15.373333,15.56,0.04,0.04,
prelude,beats,B,8,1,10,8,2,0.313333,0.253333,0.06,300,300,9.966667,9.853333,0.0267,0.0267,
prelude,beats,B,8,2,7,2,5,0.77,0.673333,0.0967,300,300,9.84,10.62,0.0267,0.0267,
prelude,beats,B,8,3,3,2,1,0.35,0.68,-0.33,300,300,10.68,10.666667,0.0267,0.0267,
prelude,beats,B,8,4,3,3,0,0.34,0.34,0.0,300,300,10.553333,10.946667,0.0267,0.0267,
prelude,beats,B,8,5,1,3,-2,1.0,0.396667,0.6033,300,300,10.833333,10.28,0.0267,0.0267,
prelude,beats,B,10,1,6,2,4,0.313333,0.68,-0.3667,300,300,12.146667,11.866667,0.0333,0.0333,
prelude,beats,B,10,2,1,2,-1,1.0,0.673333,0.3267,300,300,12.046667,13.4,0.0333,0.0333,
prelude,beats,B,10,3,2,2,0,0.673333,0.68,-0.0067,300,300,13.186667,13.36,0.0333,0.0333,
prelude,beats,B,10,4,2,3,-1,0.67,0.34,0.33,300,300,12.993333,13.666667,0.0333,0.0333,
prelude,beats,B,10,5,1,3,-2,1.0,0.396667,0.6033,300,300,13.433333,12.753333,0.0333,0.0333,
prelude,beats,B,12,1,4,1,3,0.333333,1.0,-0.6667,300,300,14.473333,14.393333,0.04,0.04,
prelude,beats,B,12,2,1,1,0,1.0,1.0,0.0,300,300,14.26,16.0,0.04,0.04,
prelude,beats,B,12,3,2,1,1,0.673333,1.0,-0.3267,300,300,15.433333,16.106667,0.04,0.04,
prelude,beats,B,12,4,2,3,-1,0.67,0.34,0.33,300,300,15.433333,16.326667,0.04,0.04,
prelude,beats,B,12,5,1,3,-2,1.0,0.396667,0.6033,300,300,15.9,15.3,0.04,0.04,
prelude,beats,C,8,1,10,8,2,0.313333,0.253333,0.06,300,300,9.966667,9.853333,0.0267,0.0267,
prelude,beats,C,8,2,7,2,5,0.77,0.673333,0.0967,300,300,9.84,10.626667,0.0267,0.0267,
prelude,beats,C,8,3,3,2,1,0.35,0.68,-0.33,300,300,10.646667,10.673333,0.0267,0.0267,
prelude,beats,C,8,4,2,3,-1,0.67,0.34,0.33,300,300,10.553333,10.953333,0.0267,0.0267,
prelude,beats,C,8,5,1,3,-2,1.0,0.396667,0.6033,300,300,10.866667,10.28,0.0267,0.0267,
prelude,beats,C,10,1,6,2,4,0.313333,0.68,-0.3667,300,300,12.146667,11.866667,0.0333,0.0333,
prelude,beats,C,10,2,1,2,-1,1.0,0.673333,0.3267,300,300,12.046667,13.413333,0.0333,0.0333,
prelude,beats,C,10,3,2,2,0,0.673333,0.68,-0.0067,300,300,13.133333,13.366667,0.0333,0.0333,
prelude,beats,C,10,4,2,3,-1,0.67,0.34,0.33,300,300,12.993333,13.673333,0.0333,0.0333,
prelude,beats,C,10,5,1,3,-2,1.0,0.396667,0.6033,300,300,13.453333,12.753333,0.0333,0.0333,
prelude,beats,C,12,1,4,1,3,0.333333,1.0,-0.6667,300,300,14.473333,14.393333,0.04,0.04,
prelude,beats,C,12,2,1,1,0,1.0,1.0,0.0,300,300,14.306667,16.026667,0.04,0.04,
prelude,beats,C,12,3,2,1,1,0.673333,1.0,-0.3267,300,300,15.406667,16.133333,0.04,0.04,
prelude,beats,C,12,4,2,3,-1,0.67,0.34,0.33,300,300,15.433333,16.326667,0.04,0.04,
prelude,beats,C,12,5,1,3,-2,1.0,0.396667,0.6033,300,300,15.913333,15.3,0.04,0.04,
prelude,seconds,A,8,1,10,8,2,0.246667,0.25,-0.0033,300,300,10.84,10.16,0.0267,0.0267,
prelude,seconds,A,8,2,2,1,1,0.763333,1.0,-0.2367,300,300,9.966667,10.253333,0.0267,0.0267,
prelude,seconds,A,8,3,1,1,0,1.0,1.0,0.0,300,300,10.22,9.76,0.0267,0.0267,
prelude,seconds,A,8,4,1,4,-3,1.0,0.866667,0.1333,300,300,10.0,9.433333,0.0267,0.0267,
prelude,seconds,A,8,5,1,6,-5,1.0,0.77,0.23,300,300,9.8,9.486667,0.0267,0.0267,
prelude,seconds,A,10,1,8,1,7,0.256667,1.0,-0.7433,300,300,13.046667,12.94,0.0333,0.0333,
prelude,seconds,A,10,2,2,1,1,0.763333,1.0,-0.2367,300,300,12.52,12.66,0.0333,0.0333,
prelude,seconds,A,10,3,1,1,0,1.0,1.0,0.0,300,300,12.606667,12.126667,0.0333,0.0333,
prelude,seconds,A,10,4,1,1,0,1.0,1.0,0.0,300,300,12.353333,11.706667,0.0333,0.0333,
prelude,seconds,A,10,5,1,1,0,1.0,1.0,0.0,300,300,12.113333,11.9,0.0333,0.0333,
prelude,seconds,A,12,1,5,1,4,0.403333,1.0,-0.5967,300,300,15.253333,15.626667,0.04,0.04,
prelude,seconds,A,12,2,2,1,1,0.763333,1.0,-0.2367,300,300,14.92,14.94,0.04,0.04,
prelude,seconds,A,12,3,1,1,0,1.0,1.0,0.0,300,300,14.813333,14.38,0.04,0.04,
prelude,seconds,A,12,4,1,1,0,1.0,1.0,0.0,300,300,14.44,13.86,0.04,0.04,
prelude,seconds,A,12,5,1,1,0,1.0,1.0,0.0,300,300,14.326667,14.32,0.04,0.04,
prelude,seconds,B,8,1,1,2,-1,1.0,0.75,0.25,300,300,10.366667,10.053333,0.0267,0.0267,
prelude,seconds,B,8,2,1,1,0,1.0,1.0,0.0,300,300,10.08,10.14,0.0267,0.0267,
prelude,seconds,B,8,3,1,1,0,1.0,1.0,0.0,300,300,10.086667,10.0,0.0267,0.0267,
prelude,seconds,B,8,4,1,9,-8,1.0,0.726667,0.2733,300,300,10.006667,9.473333,0.0267,0.0267,
prelude,seconds,B,8,5,1,6,-5,1.0,0.8,0.2,300,300,9.84,9.18,0.0267,0.0267,
prelude,seconds,B,10,1,1,2,-1,1.0,0.75,0.25,300,300,12.853333,12.7,0.0333,0.0333,
prelude,seconds,B,10,2,1,1,0,1.0,1.0,0.0,300,300,12.52,12.353333,0.0333,0.0333,
prelude,seconds,B,10,3,1,1,0,1.0,1.0,0.0,300,300,12.353333,12.28,0.0333,0.0333,
prelude,seconds,B,10,4,1,1,0,1.0,1.0,0.0,300,300,12.32,11.72,0.0333,0.0333,
prelude,seconds,B,10,5,1,1,0,1.0,1.0,0.0,300,300,11.973333,11.586667,0.0333,0.0333,
prelude,seconds,B,12,1,1,2,-1,1.0,0.75,0.25,300,300,15.46,15.3,0.04,0.04,
prelude,seconds,B,12,2,1,1,0,1.0,1.0,0.0,300,300,14.866667,14.646667,0.04,0.04,
prelude,seconds,B,12,3,1,1,0,1.0,1.0,0.0,300,300,14.626667,14.606667,0.04,0.04,
prelude,seconds,B,12,4,1,1,0,1.0,1.0,0.0,300,300,14.46,13.806667,0.04,0.04,
prelude,seconds,B,12,5,1,1,0,1.0,1.0,0.0,300,300,14.22,13.966667,0.04,0.04,
prelude,seconds,C,8,1,1,2,-1,1.0,0.75,0.25,300,300,10.366667,10.053333,0.0267,0.0267,
prelude,seconds,C,8,2,1,1,0,1.0,1.0,0.0,300,300,10.086667,10.14,0.0267,0.0267,
prelude,seconds,C,8,3,1,1,0,1.0,1.0,0.0,300,300,10.093333,10.013333,0.0267,0.0267,
prelude,seconds,C,8,4,2,9,-7,0.97,0.726667,0.2433,300,300,10.006667,9.473333,0.0267,0.0267,
prelude,seconds,C,8,5,1,6,-5,1.0,0.8,0.2,300,300,9.88,9.18,0.0267,0.0267,
prelude,seconds,C,10,1,1,2,-1,1.0,0.75,0.25,300,300,12.853333,12.7,0.0333,0.0333,
prelude,seconds,C,10,2,1,1,0,1.0,1.0,0.0,300,300,12.486667,12.326667,0.0333,0.0333,
prelude,seconds,C,10,3,1,1,0,1.0,1.0,0.0,300,300,12.326667,12.273333,0.0333,0.0333,
prelude,seconds,C,10,4,1,1,0,1.0,1.0,0.0,300,300,12.34,11.726667,0.0333,0.0333,
prelude,seconds,C,10,5,1,1,0,1.0,1.0,0.0,300,300,12.013333,11.586667,0.0333,0.0333,
prelude,seconds,C,12,1,1,2,-1,1.0,0.75,0.25,300,300,15.46,15.3,0.04,0.04,
prelude,seconds,C,12,2,1,1,0,1.0,1.0,0.0,300,300,14.833333,14.653333,0.04,0.04,
prelude,seconds,C,12,3,1,1,0,1.0,1.0,0.0,300,300,14.6,14.586667,0.04,0.04,
prelude,seconds,C,12,4,1,1,0,1.0,1.0,0.0,300,300,14.48,13.806667,0.04,0.04,
prelude,seconds,C,12,5,1,1,0,1.0,1.0,0.0,300,300,14.253333,13.966667,0.04,0.04,
